team,x,y,dir,period,outcome,reason
england,73,0,s,1,won,
england,79,0,s,1,won,
scotland,52,0,d,1,lost,penalty
england,96,0,d,1,won,
scotland,115,0,d,1,won,
england,67,0,s,1,won,
england,45,0,s,1,won,
england,81,0,s,1,won,
scotland,62,70,d,1,won,
scotland,43,0,d,1,won,
scotland,114,70,d,1,won,penalty
scotland,81,70,d,1,won,
england,68,70,s,1,won,
scotland,115,70,d,1,won,
england,105,70,d,1,won,
scotland,53,0,s,1,won,
england,85,0,d,1,won,
scotland,58,0,s,1,won,
england,100,0,s,2,won,
england,42,0,s,2,won,
scotland,89,0,d,2,won,
scotland,59,0,d,2,lost,penalty
england,41,0,d,2,won,
scotland,69,0,d,2,won,
england,54,70,s,2,won,
england,73,70,s,2,won,
scotland,83,0,s,2,won,penalty
scotland,38,0,s,2,won,penalty
scotland,71,0,d,2,won,
england,112,0,d,2,lost,penalty
scotland,85,0,d,2,won,
england,86,70,s,2,won,
england,45,70,d,2,lost,turnover