x,y,dir,outcome,reason
102,20,d,,
83,18,d,lost,knockon
86,47,d,,
90,44,d,,
92,46,d,won,penalty
64,32,d,,
46,4,d,,
43,13,d,,
44,31,d,,
44,46,d,,
42,61,d,,
41,53,d,,
43,36,d,,
41,24,d,,
95,14,d,,
91,58,d,,
76,55,d,,
98,7,d,,
98,15,d,,
107,2,d,,
105,18,d,,
66,15,d,,
61,64,d,,
65,63,d,,
64,53,d,,
94,54,d,,
95,52,d,,
29,55,d,,
27,52,d,,
25,39,d,,
21,38,d,,
22,35,d,,
21,34,d,,
72,55,d,,
36,53,d,,
31,46,d,,
30,31,d,lost,knockon
71,54,d,,
69,13,d,lost,turnover
89,36,d,,
87,32,d,,
85,33,d,,
81,19,d,,
78,14,d,,
79,19,d,,
36,4,d,,
31,32,d,,
29,35,d,,
23,13,d,,
89,14,d,,
91,18,d,,
71,43,d,,
60,64,d,,
60,54,d,,
46,37,d,,
44,9,d,,
45,17,d,,
49,44,d,,
24,8,d,,
23,14,d,,
24,15,d,,
24,16,d,,
24,17,d,,
21,30,d,lost,knockon
77,17,d,,
76,34,d,,
78,55,d,,
81,49,d,,
60,53,d,,
59,29,d,,
35,17,d,,
109,53,s,,
112,51,s,,
117,32,s,,
39,51,s,,
42,20,s,,
91,13,s,,
97,18,s,,
99,41,s,,
96,46,s,,
97,36,s,,
97,19,s,lost,turnover
25,7,s,,
27,15,s,,
60,4,s,,
59,16,s,,
32,24,s,,
46,7,s,,
47,17,s,,
98,27,s,,
101,12,s,,
100,16,s,,
101,41,s,lost,turnover
46,54,s,,
21,53,s,lost,penalty
76,34,s,,
77,17,s,,
68,55,s,,
76,55,s,,
79,52,s,,
37,9,s,,
35,7,s,,
34,17,s,,
56,18,s,,
57,31,s,,
68,67,s,,
67,54,s,,
96,19,s,,
101,12,s,,
99,18,s,,
68,10,s,,
79,19,s,,
79,21,s,,
80,4,s,,
76,49,s,,
77,33,s,,
112,54,s,,
117,65,s,,